Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Baseball, Man Running and Picking Up Ball: Plate 287 from Animal Locomotion (1887)",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Glass transparency,"3 1/4 x 15/16"" (8.2 x 2.4 cm)",Gift of the Philadelphia Commercial Museum,204.1937,Photograph,Photography,3/17/37,N,48420,,,,,,8.2,,,2.4,,
"""Elberon"" Trotting, Saddled: Plate 604 from Animal Locomotion (1887)",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Master negative,,Gift of the Philadelphia Commercial Museum,205.1937,Photograph,Photography,3/17/37,N,48439,,,,,,,,,,,
Woman Dancing: Plate 194 from Animal Locomotion (1887),Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Gelatin silver print,"7 7/16 x 13 1/8"" (18.9 x 33.4 cm)",Gift of the Philadelphia Commercial Museum,206.1937,Photograph,Photography,3/17/37,Y,48458,http://www.moma.org/collection/works/48458,http://www.moma.org/media/W1siZiIsIjIwMTAwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a630a07c28e0bf99,,,,18.9,,,33.4,,
Dubonnet,A. M. Cassandre,1015,"(French, 1901–1968)",(French),-1901,-1968,(Male),1935,Lithograph,"55 x 80"" (139.7 x 203.2 cm)",Gift of American Institute of Graphic Arts,158.1937,Design,Architecture & Design,3/19/37,Y,5368,http://www.moma.org/collection/works/5368,http://www.moma.org/media/W1siZiIsIjI2ODciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=95f10ef77c4166f9,,,,139.7003,,,203.2004,,
Composition,Natalia Goncharova,2229,"(Russian, 1881–1962)",(Russian),-1881,-1962,(Female),-1920,Watercolor and graphite on paper,"11 x 7 7/8"" (27.9 x 20 cm)",Gift of the artist,73.1936,Drawing,Drawings,5/11/37,Y,33638,http://www.moma.org/collection/works/33638,http://www.moma.org/media/W1siZiIsIjEzMzA5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=22634c19ef8047b0,,,,27.9,,,20,,
Composition,Natalia Goncharova,2229,"(Russian, 1881–1962)",(Russian),-1881,-1962,(Female),1920,Watercolor on paper,"11 1/8 x 7 7/8"" (28.3 x 20 cm)",Gift of the artist,91.1936,Drawing,Drawings,5/11/37,Y,33825,http://www.moma.org/collection/works/33825,http://www.moma.org/media/W1siZiIsIjE3ODM5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bd5fb5692b814d59,,,,28.3,,,20,,
Composition,Natalia Goncharova,2229,"(Russian, 1881–1962)",(Russian),-1881,-1962,(Female),-1920,Watercolor on paper,"11 x 7 7/8"" (27.9 x 20 cm)",Gift of the artist,103.1936,Drawing,Drawings,5/11/37,Y,33948,http://www.moma.org/collection/works/33948,http://www.moma.org/media/W1siZiIsIjE4MjYwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5f7908522bb76266,,,,27.9,,,20,,
Composition,Jean Hélion,2586,"(French, 1904–1987)",(French),-1904,-1987,(Male),Paris 1936,Oil on canvas,"39 1/4 x 31 7/8"" (99.7 x 80.9 cm)",Gift of the Advisory Committee,76.1936,Painting,Painting & Sculpture,5/11/37,Y,78694,http://www.moma.org/collection/works/78694,http://www.moma.org/media/W1siZiIsIjE4NDQxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5be9b45cbbf02af9,,,,99.7,,,80.9,,
"Landscape, 47",Natalia Goncharova,2229,"(Russian, 1881–1962)",(Russian),-1881,-1962,(Female),1912,Oil on canvas,"21 1/2 x 18 3/8"" (54.6 x 46.7 cm)",Gift of the artist,84.1936,Painting,Painting & Sculpture,5/11/37,Y,78727,http://www.moma.org/collection/works/78727,http://www.moma.org/media/W1siZiIsIjE1NjkiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=e0a2f4d7420f1023,,,,54.6,,,46.7,,
The Jungle,Marguerite Zorach,6581,"(American, 1887–1968)",(American),-1887,-1968,(Female),n.d.,Woven wool,"42 x 60"" (106.7 x 152.4 cm)",Gift of A. Conger Goodyear,155.1937,Textile,Painting & Sculpture,5/11/37,Y,79005,http://www.moma.org/collection/works/79005,http://www.moma.org/media/W1siZiIsIjIwODMyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dec86c305c23a6b3,,,,106.7,,,152.4,,
Collective Suicide,David Alfaro Siqueiros,5454,"(Mexican, 1896–1974)",(Mexican),-1896,-1974,(Male),1936,Lacquer on wood with applied sections,"49"" x 6' (124.5 x 182.9 cm)",Gift of Dr. Gregory Zilboorg,208.1937,Painting,Painting & Sculpture,5/11/37,Y,79146,http://www.moma.org/collection/works/79146,http://www.moma.org/media/W1siZiIsIjE1MTEwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=597ed6fa77f99c96,,,,124.5,,,182.9,,
Winter,Eugene Berman,502,"(American, born Russia. 1899–1972)",(American),-1899,-1972,(Male),Paris 1929,Oil on canvas,"36 1/8 x 28 3/4"" (91.8 x 73 cm)",Gift of Richard Blow,209.1937,Painting,Painting & Sculpture,5/11/37,Y,79149,http://www.moma.org/collection/works/79149,http://www.moma.org/media/W1siZiIsIjIwODQ5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0c8d66fb3f227f0b,,,,91.8,,,73,,
Human Concretion,Jean (Hans) Arp,11,"(French, born Germany (Alsace). 1886–1966)",(French),-1886,-1966,(Male),1935,Plaster,"19 1/2 x 18 3/4 x 25 1/2"" (49.5 x 47.6 x 64.7 cm)",Gift of the Advisory Committee,4.1937,Sculpture,Painting & Sculpture,5/11/37,Y,80760,http://www.moma.org/collection/works/80760,http://www.moma.org/media/W1siZiIsIjIwOTk5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=84af2bd128812d98,,64.7701,,49.5,,,47.6251,,
Standing Youth,Wilhelm Lehmbruck,3464,"(German, 1881–1919)",(German),-1881,-1919,(Male),1913,Cast stone,"7' 8"" x 33 1/2"" x 26 3/4"" (233.7 x 85.1 x 68 cm)",Gift of Abby Aldrich Rockefeller,68.1936,Sculpture,Painting & Sculpture,5/11/37,Y,80893,http://www.moma.org/collection/works/80893,http://www.moma.org/media/W1siZiIsIjEzMzAiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=4abb3d9416fea13b,,67.9,,231.1,,,85.1,,
Handlebar Riders,Chaim Gross,2364,"(American, born Austria. 1904–1991)",(American),-1904,-1991,(Male),1935,Wood,"41 1/4"" (104.7 cm) high, at base 14 7/8 x 10 5/8""  (26.7 x 29.2 cm)",Gift of A. Conger Goodyear,156.1937,Sculpture,Painting & Sculpture,5/11/37,Y,81042,http://www.moma.org/collection/works/81042,,,,,37.8,,,27,,
Two Forms,Henry Moore,4071,"(British, 1898–1986)",(British),-1898,-1986,(Male),1934,Pynkado wood,"11 x 21 1/2 x 12 1/8"" (27.9 x 54.6 x 30.8 cm), including oak base",Sir Michael Sadler Fund,207.1937,Sculpture,Painting & Sculpture,5/11/37,Y,81140,http://www.moma.org/collection/works/81140,http://www.moma.org/media/W1siZiIsIjIwODQ4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=870d4eb3fc21e16d,,30.8,,27.9,,,54.6,,
Studies of Horsemen,Salvador Dalí,1364,"(Spanish, 1904–1989)",(Spanish),-1904,-1989,(Male),1936,Ink on paper,"17 1/4 x 21 1/2"" (43.8 x 54.6 cm)",Gift of Sam A. Lewisohn,212.1937,Drawing,Drawings,5/12/37,Y,35278,http://www.moma.org/collection/works/35278,http://www.moma.org/media/W1siZiIsIjE2NjE4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=55921df4b040283c,,,,43.8,,,54.6,,
Surrealism (Surréalisme),Louis Soutter,5544,"(Swiss, 1871–1942)",(Swiss),-1871,-1942,(Male),(n.d.),Oil on board,"19 3/4 x 14"" (50.2 x 35.6 cm)",Gift of the artist,213.1937,Drawing,Drawings,5/15/37,Y,35287,http://www.moma.org/collection/works/35287,http://www.moma.org/media/W1siZiIsIjMyNzk1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7ce66e195a41fbeb,,,,50.2,,,35.6,,
Radio - Rural Electrification Administration,Lester Beall,409,"(American, 1903–1969)",(American),-1903,-1969,(Male),1937,Silkscreen,"40 1/4 x 30"" (102 x 76.2 cm)",Gift of the designer,218.1937,Design,Architecture & Design,6/30/37,Y,5724,http://www.moma.org/collection/works/5724,http://www.moma.org/media/W1siZiIsIjM1MzUiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=e272a364c9443e80,,,,102,,,76.2,,
Heat-Cold - Rural Electrification Administration,Lester Beall,409,"(American, 1903–1969)",(American),-1903,-1969,(Male),1937,Silkscreen,"40 x 30"" (101.6 x 76.2 cm)",Gift of the designer,219.1937,Design,Architecture & Design,6/30/37,Y,5729,http://www.moma.org/collection/works/5729,,,,,101.6002032,,,76.2001524,,
Light - Rural Electrification Administration,Lester Beall,409,"(American, 1903–1969)",(American),-1903,-1969,(Male),1937,Lithograph,"40 x 30"" (101.6 x 76.2 cm)",Gift of the designer,220.1937,Design,Architecture & Design,6/30/37,Y,5733,http://www.moma.org/collection/works/5733,,,,,101.6002032,,,76.2001524,,
Rural Electrification Administration,Lester Beall,409,"(American, 1903–1969)",(American),-1903,-1969,(Male),1937,Silkscreen,"40 x 30"" (101.6 x 76.2 cm)",Gift of the designer,221.1937,Design,Architecture & Design,6/30/37,Y,5737,http://www.moma.org/collection/works/5737,http://www.moma.org/media/W1siZiIsIjM1NzIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=69e25acb08d2145a,,,,101.6002,,,76.2002,,
Wash Day - Rural Electrification Administration,Lester Beall,409,"(American, 1903–1969)",(American),-1903,-1969,(Male),1937,Silkscreen,"40 x 30"" (101.6 x 76.2 cm)",Gift of the designer,222.1937,Design,Architecture & Design,6/30/37,Y,5741,http://www.moma.org/collection/works/5741,,,0,,101.6002032,,,76.2001524,,
Running Water - Rural Electrification Administration,Lester Beall,409,"(American, 1903–1969)",(American),-1903,-1969,(Male),1937,Silkscreen,"40 x 30"" (101.6 x 76.2 cm)",Gift of the designer,223.1937,Design,Architecture & Design,6/30/37,Y,5745,http://www.moma.org/collection/works/5745,http://www.moma.org/media/W1siZiIsIjIxMDc1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d6869d44dbf5fb43,,,,101.6,,,76.2,,
Dinton Castle Near Aylesbury,E. McKnight Kauffer,3020,"(American, 1890–1954)",(American),-1890,-1954,(Male),1936,Lithograph,"30 x 45"" (76.2 x 114.3cm)",Gift of the artist,224.1937,Design,Architecture & Design,7/1/37,Y,5748,http://www.moma.org/collection/works/5748,http://www.moma.org/media/W1siZiIsIjU1MzUiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=ceb1b1e7345f330c,,,,76.2,,,114.3,,
Lubrication by Shell,E. McKnight Kauffer,3020,"(American, 1890–1954)",(American),-1890,-1954,(Male),1937,Lithograph,"30 x 45"" (76.2 x 114.3cm)",Gift of the artist,225.1937,Design,Architecture & Design,7/1/37,Y,5751,http://www.moma.org/collection/works/5751,,,,,76.2,,,114.3,,
"Spring In the Country, Easter",E. McKnight Kauffer,3020,"(American, 1890–1954)",(American),-1890,-1954,(Male),1937,Lithograph,"40 x 25"" (101.6 x 63.5 cm)",Gift of the designer,226.1937,Design,Architecture & Design,7/1/37,Y,5755,http://www.moma.org/collection/works/5755,http://www.moma.org/media/W1siZiIsIjM2NTEiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=fb5a8c4ce90d7693,,,,101.6,,,63.5,,
Spring (Poster for London Transport),E. McKnight Kauffer,3020,"(American, 1890–1954)",(American),-1890,-1954,(Male),1937,Lithograph,"40 x 25"" (101.6 x 63.5cm)",Gift of the designer,227.1937,Design,Architecture & Design,7/1/37,Y,5758,http://www.moma.org/collection/works/5758,,,,,101.6,,,63.5,,
Post During Lunch Hour,E. McKnight Kauffer,3020,"(American, 1890–1954)",(American),-1890,-1954,(Male),c. 1937,Lithograph,"30 x 20"" (76.2 x 50.8cm)",Gift of the artist,228.1937,Design,Architecture & Design,7/1/37,Y,5762,http://www.moma.org/collection/works/5762,,,,,76.2,,,50.8,,
Painting,Joan Miró,4016,"(Spanish, 1893–1983)",(Spanish),-1893,-1983,(Male),"Barcelona, June 13, 1933",Oil on canvas,"68 1/2 x 6' 5 1/4"" (174 x 196.2 cm)",Loula D. Lasker Bequest (by exchange),229.1937,Painting,Painting & Sculpture,9/23/37,Y,79202,http://www.moma.org/collection/works/79202,http://www.moma.org/media/W1siZiIsIjE1NzQ2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4d354e64904cb32f,,,,174,,,196.2,,
Deux vies,Louis Soutter,5544,"(Swiss, 1871–1942)",(Swiss),-1871,-1942,(Male),(c.1930-35),Ink on paper,"13 x 9 3/4"" (33 x 24.8 cm)",Gift of the artist,460.1937.a-b,Drawing,Drawings,10/4/37,Y,37025,http://www.moma.org/collection/works/37025,http://www.moma.org/media/W1siZiIsIjMyNzk2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a2e179811eff7eba,,,,33,,,24.8,,
Die neue Baukunst als Ausdruck moderner Lebensgestaltung,Unknown Artist,23390,(Nationality Unknown),(Nationality Unknown),0,0,(),c.1928,Lithograph,"13 x 17 1/4"" (33 x 43.8cm)","Purchase Fund, Jan Tschichold Collection",302.1937,Design,Architecture & Design,10/30/37,Y,6153,http://www.moma.org/collection/works/6153,http://www.moma.org/media/W1siZiIsIjQ3NjciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=ce2ef08cc02527c4,,,,33,,,43.8,,
"Verwende Stets Nur Gas (Use Only Gas...Saves Work, Time, Money)",Walter Dexel,1520,"(German, 1890–1973)",(German),-1890,-1973,(Male),1924,Letterpress,"19 x 25 1/2"" (48.3 x 64.8 cm)",Abby Aldrich Rockefeller Purchase Fund,303.1937,Design,Architecture & Design,10/30/37,Y,6157,http://www.moma.org/collection/works/6157,http://www.moma.org/media/W1siZiIsIjIxMTAxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e19680abf35feb24,,,,48.3,,,64.8,,
"Nolde, Lichtbildervortrag, Prof. Dr. M. Sauerlandt",Jan Tschichold,5951,"(Swiss, born Germany. 1902–1974)",(Swiss),-1902,-1974,(Male),c. 1921,Lithograph,"25 3/4 x 19 3/4""","Purchase Fund, Jan Tschichold Collection",304.1937,Design,Architecture & Design,10/30/37,Y,6161,http://www.moma.org/collection/works/6161,http://www.moma.org/media/W1siZiIsIjQ3OTciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=b9376477971c26e8,,,,65.4,,,50.2,,
Loheland Gymnastik-Vorführung,Walter Dexel,1520,"(German, 1890–1973)",(German),-1890,-1973,(Male),1927-1937,Silkscreen and letterpress,"19 x 26"" (48.3 x 66 cm)","Purchase Fund, Jan Tschichold Collection",305.1937,Design,Architecture & Design,10/30/37,Y,6165,http://www.moma.org/collection/works/6165,http://www.moma.org/media/W1siZiIsIjQ4MTEiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=73b75af9438f3df6,,,,48.3,,,66,,
"Ausstellung, Alte Kulturwerte In Hannoverschem Besitz",Friedrich Vordemberge-Gildewart,6189,"(Dutch, born Germany. 1899–1962)",(Dutch),-1899,-1962,(Male),1927–1936,Lithograph,"29 1/2 x 21 1/2"" (74.9 x 54.6 cm)","Purchase Fund, Jan Tschichold Collection",306.1937,Design,Architecture & Design,10/30/37,Y,6169,http://www.moma.org/collection/works/6169,http://www.moma.org/media/W1siZiIsIjQ4MjYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=bc67195624f8679e,,,,74.9,,,54.6,,
"Kultur Film Bühne, Stadthalle",Walter Dexel,1520,"(German, 1890–1973)",(German),-1890,-1973,(Male),1929,Letterpress and lineblock,"33 1/4 x 23 3/8"" (84.5 x 59.4 cm)","Purchase Fund, Jan Tschichold Collection",307.1937,Design,Architecture & Design,10/30/37,Y,6173,http://www.moma.org/collection/works/6173,http://www.moma.org/media/W1siZiIsIjQ4MzYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=6d73da4319fed4cd,,,,84.5,,,59.4,,
"Bauten der Technik: das Licht im Dienste der Werbung, Ausstellung am Adolf-Mittag-See",Walter Dexel,1520,"(German, 1890–1973)",(German),-1890,-1973,(Male),1929,Lithograph,"38 x 23 1/2"" (96.5 x 59.7 cm)","Purchase Fund, Jan Tschichold Collection",308.1937,Design,Architecture & Design,10/30/37,Y,6177,http://www.moma.org/collection/works/6177,http://www.moma.org/media/W1siZiIsIjQ4NDYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=d73c297a0b8eed77,,,,96.5,,,59.7,,
"Ausstellung am Adolf-Mittag-See, Spitzen und Stoffe, Holz und Bernstein",Walter Dexel,1520,"(German, 1890–1973)",(German),-1890,-1973,(Male),1920-1937,Silkscreen,"33 1/4 x 23 1/2"" (84.5 x 59.7 cm)","Purchase Fund, Jan Tschichold Collection",309.1937,Design,Architecture & Design,10/30/37,Y,6181,http://www.moma.org/collection/works/6181,http://www.moma.org/media/W1siZiIsIjQ4NjIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=8642db29b22aba60,,,,84.5,,,59.7,,
"Kult und Form, Ausstellung am Adolf-Mittag-See",Walter Dexel,1520,"(German, 1890–1973)",(German),-1890,-1973,(Male),1929,Photolithograph,"33 1/4 x 23 1/2"" (84.5 x 59.7 cm)","Purchase Fund, Jan Tschichold Collection",310.1937,Design,Architecture & Design,10/30/37,Y,6185,http://www.moma.org/collection/works/6185,http://www.moma.org/media/W1siZiIsIjQ4ODMiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=3c8990c5317ab90e,,,,84.5,,,59.7,,
Bally Shoes,Unknown Artist,23390,(Nationality Unknown),(Nationality Unknown),0,0,(),1900-1937,Poster,"50 1/2 x 35 3/4"" (128.3 x 90.8cm)","Purchase Fund, Jan Tschichold Collection",311.1937,Design,Architecture & Design,10/30/37,N,6189,,,,,,128.3,,,90.8,,
Bally,Pierre Gauchat,8399,"(Swiss, 1902–1956)",(Swiss),-1902,-1956,(Male),1935,Lithograph,"50 1/2 x 35 3/4"" (128.3 x 90.8 cm)","Purchase Fund, Jan Tschichold Collection",312.1937,Design,Architecture & Design,10/30/37,Y,6193,http://www.moma.org/collection/works/6193,http://www.moma.org/media/W1siZiIsIjIxMTAzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f196e597f52b1572,,,,128.3,,,90.8,,
Bally,Unknown Artist,23390,(Nationality Unknown),(Nationality Unknown),0,0,(),1900-1937,Poster,"50 1/2 x 35 3/4"" (128.3 x 90.8cm)","Purchase Fund, Jan Tschichold Collection",313.1937,Design,Architecture & Design,10/30/37,N,6198,,,,,,128.3,,,90.8,,
"Bally ""Lido"" -  Bally qualité",Unknown Artist,23390,(Nationality Unknown),(Nationality Unknown),0,0,(),1900-1937,Poster,"50 1/2 x 36"" (128.3 x 91.4cm)","Purchase Fund, Jan Tschichold Collection",314.1937,Design,Architecture & Design,10/30/37,N,6203,,,,,,128.3,,,91.4,,
Montreux-Bernese Oberland,Unknown Artist,23390,(Nationality Unknown),(Nationality Unknown),0,0,(),1900-1937,Poster,"40 1/4 x 25 1/4"" (102.2 x 64.1cm)","Purchase Fund, Jan Tschichold Collection",315.1937,Design,Architecture & Design,10/30/37,N,6208,,,,,,102.2,,,64.1,,
Sportausstellung für Faltboot und Wanderzelt,Steiner,5628,(Swiss),(Swiss),0,0,(),1919,Letterpress and line block,"40 1/4 x 26 7/8"" (102.2 x 68.3 cm)","Purchase Fund, Jan Tschichold Collection",316.1937,Design,Architecture & Design,10/30/37,Y,6213,http://www.moma.org/collection/works/6213,http://www.moma.org/media/W1siZiIsIjQ5NDkiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=6b5a873181a56a7a,,,,102.2,,,68.3,,
Die Schweiz das Grosse Erlebnis im Flugzeug,Herbert Matter,3843,"(American, born Switzerland. 1907–1984)",(American),-1907,-1984,(Male),1935-36,Gravure,"40 1/4 x 25 1/4"" (102.2 x 64.1 cm)","Purchase Fund, Jan Tschichold Collection",317.1937,Design,Architecture & Design,10/30/37,Y,6217,http://www.moma.org/collection/works/6217,http://www.moma.org/media/W1siZiIsIjQ5NjIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=71305da21dafc51b,,,,102.2,,,64.1,,
Schweiz-Suisse Glarnerland & Walensee,Herbert Matter,3843,"(American, born Switzerland. 1907–1984)",(American),-1907,-1984,(Male),c.1935,Poster,"39 7/8 x 25 1/4"" (101.3 x 64.1cm)","Purchase Fund, Jan Tschichold Collection",318.1937,Design,Architecture & Design,10/30/37,N,6222,,,,,,101.3,,,64.1,,
Sierre-Montana - Valais (Suisse),Orell Füssli,11799,(Swiss),(Swiss),0,0,(),1900-1937,Lithograph,"40 1/4 x 25 1/4"" (102.2 x 64.1cm)","Purchase Fund, Jan Tschichold Collection",319.1937,Design,Architecture & Design,10/30/37,N,6227,,,,,,102.2,,,64.1,,
Schweiz - Braunwald,Heinrich Steiuer,5638,,(),0,0,(Male),1900-1937,Poster,"39 3/4 x 25 1/4"" (101 x 64.1cm)","Purchase Fund, Jan Tschichold Collection",320.1937,Design,Architecture & Design,10/30/37,N,6232,,,,,,101,,,64.1,,
Suisse - Poutresina,Unknown Artist,23390,(Nationality Unknown),(Nationality Unknown),0,0,(),1900-1937,Poster,"40 1/4 x 25 1/4"" (102.2 x 64.1cm)","Purchase Fund, Jan Tschichold Collection",321.1937,Design,Architecture & Design,10/30/37,N,6237,,,,,,102.2,,,64.1,,
En Route Pour La Suisse,Herbert Matter,3843,"(American, born Switzerland. 1907–1984)",(American),-1907,-1984,(Male),1935-1936,Gravure,"39 7/8 x 25 1/4"" (101.3 x 64.1cm)","Purchase Fund, Jan Tschichold Collection",322.1937,Design,Architecture & Design,10/30/37,Y,6242,http://www.moma.org/collection/works/6242,,,,,101.3,,,64.1,,
Feierspiele in Münster,Max Burchartz,869,"(German, 1887–1961)",(German),-1887,-1961,(Male),1925,Lithograph,"35 1/4 x 23 1/2"" (89.5 x 59.7 cm)","Purchase Fund, Jan Tschichold Collection",323.1937,Design,Architecture & Design,10/30/37,N,6247,,,,,,89.5,,,59.7,,
Fri-Ho-Di Margarine,Georg Trump,5947,"(German, 1896–1985)",(German),-1896,-1985,(Male),1926,Poster,"47 1/4 x 33"" (120 x 83.8 cm)","Purchase Fund, Jan Tschichold Collection",324.1937,Design,Architecture & Design,10/30/37,N,6255,,,,,,120,,,83.8,,
Bitte Bitte Kathreiner,Kuron - Gogol,3309,(German),(German),0,0,(),1900-1937,Poster,"35 1/2 x 23 5/8"" (90.2 x 60cm)","Purchase Fund, Jan Tschichold Collection",325.1937,Design,Architecture & Design,10/30/37,N,6261,,,,,,90.2,,,60,,
"Tanzfestspiele (Dance Festival) (Poster for Dance Festival at the Second German Dance Congress, Essen)",Max Burchartz,869,"(German, 1887–1961)",(German),-1887,-1961,(Male),1928,Photolithograph,"35 1/2 x 33 1/4"" (90.2 x 84.5 cm)","Purchase Fund, Jan Tschichold Collection",326.1937,Design,Architecture & Design,10/30/37,Y,6267,http://www.moma.org/collection/works/6267,http://www.moma.org/media/W1siZiIsIjUwNzciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=52bdb9608227a849,,,,90.2,,,84.5,,
St. Moritz,Hugo Herdeg,8841,"(Swiss, 1909–1953)",(Swiss),-1909,-1953,(Male),1933–1935,Lithograph,"40 1/4 x 25 1/4"" (102.2 x 64.1cm)","Purchase Fund, Jan Tschichold Collection",327.1937,Design,Architecture & Design,10/30/37,Y,6274,http://www.moma.org/collection/works/6274,,,,,102.2,,,64.1,,
Zermatt - Gornergrat,Unknown Artist,23390,(Nationality Unknown),(Nationality Unknown),0,0,(),1900-1937,Poster,"40 x 25 1/4"" (101.6 x 64.1cm)","Purchase Fund, Jan Tschichold Collection",328.1937,Design,Architecture & Design,10/30/37,N,6281,,,,,,101.6,,,64.1,,
"D P Znackadobreknihy (D P The Trademark of a Good Book) (Advertisement for Družstevní Prace [Cooperative Work], Prague)",Ladislav Sutnar,5740,"(American, born Bohemia (now Czech Republic). 1897–1976)",(American),-1897,-1976,(Male),1932,Photolithograph,"35 1/2 x 23 5/8"" (90.2 x 60 cm)","Purchase Fund, Jan Tschichold Collection",329.1937,Design,Architecture & Design,10/30/37,Y,6288,http://www.moma.org/collection/works/6288,http://www.moma.org/media/W1siZiIsIjUxMTUiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=f31b12191bd4a49f,,,,89.5,,,59.7,,
V Zime Hratje Quash Tennis v Dome YWCA (In winter we play squash and tennis indoors at the YWCA),FZ,49100,(Czechoslovakian),(Czechoslovakian),0,0,(),1937,Lithograph,"39 1/4 x 27"" (99.7 x 68.6cm)","Purchase Fund, Jan Tschichold Collection",330.1937,Design,Architecture & Design,10/30/37,N,6296,,,,,,99.7,,,68.6,,
